Feature,Importance
IsWeekend,4.221545740332493e-05
Operation_Mode_Encoded,7.08814671364022e-05
DayOfWeek,0.00019962546339105723
Hour,0.0003298381560189452
Sensor_Stability,0.0005357625594984771
Vibration_Hz,0.0005653744355608706
Temperature_C,0.0005864184212154656
Network_Latency_ms,0.0006076149085595077
Packet_Loss_%,0.0006294638209354327
Network_Reliability,0.0006468234592083893
Power_Vibration_Ratio,0.0009868509891077638
Power_Consumption_kW,0.0023431975867005722
Quality_Control_Defect_Rate_%,0.0026419338782912175
Predictive_Maintenance_Score,0.009760377094043059
Maintenance_Error_Score,0.020262258355105082
Machine_Health_Score,0.02238739963964564
Energy_Efficiency_Ratio,0.03652459010498641
Quality_Production_Score,0.13299761841634697
Production_Speed_units_per_hr,0.17835294632911056
Error_Output_Ratio,0.26220888989069024
Error_Rate_%,0.32731991956704465
